No.	A	->	B		C		D	Left side feats	Right side feats	Scope	Hits	Reliability	Confidence	examples	exceptions
337	y	->	y	/	X 	__	 y	[]	[]	26	26	1.0	0.964	yg, yb, yn, proykt, orynt, arrysg, iNkyt, inykt, impasynt, reyn, auynt, adystr, agryt, dysm, despeyx, ayg, amariy, sentey, alyn	
887	y	->	y	/	X 	__	n y	[]	[]	6	6	1.0	0.852	yn, orynt, impasynt, reyn, auynt, alyn	
1198	y	->	y	/	X 	__	s y	[]	[]	5	5	1.0	0.825	arrysg, adystr, dysm, enys, atys	
1420	y	->	y	/	X 	__	t	[]	[]	4	4	1.0	0.786	iNkyt, agryt, akyt, adyt	
487	y	->	y	/	X r	__	 y	[]	[]	3	3	1.0	0.718	orynt, arrysg, agryt	
842	y	->	y	/	X 	__	nt	[]	[]	3	3	1.0	0.718	orynt, impasynt, auynt	
1524	y	->	y	/	X e	__	 y	[]	[]	3	3	1.0	0.718	reyn, despeyx, sentey	
1761	y	->	y	/	X 	__		[]	[]	3	3	1.0	0.718	amariy, sentey, koskiy	
1849	y	->	y	/	X 	__	n	[]	[]	3	3	1.0	0.718	yn, reyn, alyn	
2457	y	->	y	/	X d	__	 y	[]	[]	3	3	1.0	0.718	adystr, dysm, adyt	
628	y	->	y	/	X 	__	kt	[]	[]	2	2	1.0	0.57	proykt, inykt	
1488	y	->	y	/	X d	__	s y	[]	[]	2	2	1.0	0.57	adystr, dysm	
1852	y	->	y	/	X k	__	t	[]	[]	2	2	1.0	0.57	iNkyt, akyt	
2279	y	->	y	/	X n	__	 y	[]	[]	2	2	1.0	0.57	inykt, enys	
2280	y	->	y	/	X 	__	s	[]	[]	2	2	1.0	0.57	enys, atys	
2352	y	->	y	/	X i	__		[]	[]	2	2	1.0	0.57	amariy, koskiy	
2456	y	->	y	/	ad	__	 y	[]	[]	2	2	1.0	0.57	adystr, adyt	
2674	y	->	y	/	X s	__	 y	[]	[]	2	2	1.0	0.57	impasynt, desyrb	
1768	y	->	y	/	X e	__		[]	[]	1	1	1.0	(known word)sentey	
4	y	->	y	/		__	 y	[]	[]	3	3	1.0	0.718	yg, yb, yn	
753	nfj	->	nfi	/	X ko	__		[]	[]	2	2	1.0	0.57	konfj, deskonfj	
2397	rj	->	ri	/	X 	__		[]	[]	4	3	0.75	0.526	aberj, glorj, exekutorj	banaglorj
2686	rj	->	ri	/	X o	__		[]	[]	3	2	0.667	0.396	glorj, exekutorj	banaglorj
996	q	->	q	/	X 	__	 y	[]	[]	7	7	1.0	0.872	frekqnt, sekqstr, adqñ, aqk, amqbl, desqs, desamqbl	
465	q	->	q	/	X ek	__	 y	[]	[]	2	2	1.0	0.57	frekqnt, sekqstr	
